name,prices,url,badge
Percale 300 Thread Count Duvet Cover,"['Sale price', '£30.00 - £48.00', 'Previous price']",https://www.marksandspencer.com/percale-cotton-300-thread-count-duvet-cover/p/hbp60460724?color=WHITE,40% off
Goose Feather & Down 10.5 Tog Duvet,"['Sale price', '£42.00 - £69.00', 'Previous price']",https://www.marksandspencer.com/goose-feather-and-down-10-5-tog-duvet/p/hbp60440537?color=WHITE,40% off
Cosy & Light 10.5 Tog Duvet,"['Sale price', '£23.70 - £35.40', 'Previous price']",https://www.marksandspencer.com/cosy-and-light-10-5-tog-duvet/p/hbp60440465?color=WHITE,40% off
2 Pack Goose Feather & Down Pillows,"['Sale price', '£36.00', 'Previous price', '£60.0']",https://www.marksandspencer.com/2-pack-goose-feather-and-down-pillows/p/hbp60440517?color=WHITE,40% off
Set of 3 Carbon Steel Roasting Trays,"['Sale price', '£15.00', 'Previous price', '£25.0']",https://www.marksandspencer.com/set-of-3-carbon-steel-roasting-trays/p/hbp60478896?color=SILVER,40% off
Goose Feather & Down 4.5 Tog Duvet,"['Sale price', '£35.40 - £54.00', 'Previous price']",https://www.marksandspencer.com/goose-feather-and-down-4-5-tog-duvet/p/hbp60440508?color=WHITE,New
Set of 5 Printed Tea Towels,"['Sale price', '£9.00', 'Previous price', '£15.0']",https://www.marksandspencer.com/set-of-5-printed-tea-towels/p/hbp60475948?color=RED#intid=prodColourId-60475948,40% off
2 Pack Temperature Comfort Pillows,"['Sale price', '£23.40', 'Previous price', '£39.0']",https://www.marksandspencer.com/2-pack-temperature-comfort-pillows/p/hbp60454380?color=WHITE,New
Pure Cotton Luxury Spa Towel,"['Sale price', '£6.00 - £18.00', 'Previous price']",https://www.marksandspencer.com/pure-cotton-luxury-spa-towel/p/hbp60467039?color=DUCKEGG#intid=prodColourId-60467039,40% off
Pure Cotton Luxury Spa Towel,"['Sale price', '£6.00 - £18.00', 'Previous price']",https://www.marksandspencer.com/pure-cotton-luxury-spa-towel/p/hbp60467039?color=TAUPE#intid=prodColourId-60467041,40% off
Pure Cotton Luxury Spa Towel,"['Sale price', '£6.00 - £18.00', 'Previous price']",https://www.marksandspencer.com/pure-cotton-luxury-spa-towel/p/hbp60467039?color=SILVERGREY#intid=prodColourId-60467040,40% off
